architecture,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,train_loss_final,epochs
arch_1_conv1_pool_relu,0.9888888888888889,0.9805555555555555,0.9816812865497075,0.9805512655512656,0.9808737130733457,0.011656979593113688,39
arch_2_conv2_pool_relu,0.9888888888888889,0.975,0.9752076866782747,0.9751415701415702,0.974833622388337,0.0012943155197954167,49
arch_3_conv3_pool_relu,0.9805555555555555,0.9777777777777777,0.9788759760710981,0.9776104676104674,0.9777984297999959,0.0006751799251202809,58
arch_4_conv2_filters24,0.9944444444444445,0.9805555555555555,0.9815604065604067,0.9806220506220507,0.9805770971846718,0.08163363582168394,38
arch_5_conv2_dropout_tanh,0.9861111111111112,0.9861111111111112,0.9864785838470047,0.9861818961818962,0.9861807770323485,0.003616125932518486,23
