architecture,description,conv_layers,filters,kernel_sizes,pool_after,dropout,activation,fc_hidden,seed,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,test_loss,epochs
A1_conv1_pool_fc,1x Conv + Pool + FC,1,8,3,[0],0.0,relu,48,9091,0.5883424408014571,0.5836363636363636,0.5920792241735178,0.584174724754214,0.5789241553650857,1.0828322172164917,8
A2_conv2_pool_fc,2x Conv + Pool + FC,2,8-16,3-3,[1],0.0,relu,48,9092,0.5883424408014571,0.5636363636363636,0.5907855611880379,0.5585923127577722,0.5513523986669766,1.1025980710983276,7
A3_conv3_pool_fc,3x Conv + Pool + FC,3,8-16-16,3-3-3,[1],0.0,relu,48,9093,0.604735883424408,0.5472727272727272,0.565049886533435,0.5459677599479353,0.5478792446092826,1.1161619424819946,6
A4_conv2_dropout_fc,2x Conv + Dropout + FC,2,8-16,3-3,[1],0.25,relu,48,9094,0.6411657559198543,0.6072727272727273,0.6119934503173121,0.602131725181668,0.5963778746665053,1.033968448638916,8
A5_conv3_dropout_bigfc_tanh,3x Conv + Dropout + vetsi FC,3,8-16-24,3-3-3,[1],0.3,tanh,96,9095,0.5537340619307832,0.49272727272727274,0.506437925987226,0.4924543952679675,0.48044034177764655,1.319582462310791,7
