topology,run,seed,hidden_layer_sizes,num_hidden_layers,num_hidden_neurons,activation,optimizer,learning_rate,batch_size,epochs,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,test_error
topo_1_small_relu,1,4201,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.02777777777777779
topo_1_small_relu,2,4202,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_1_small_relu,3,4203,"(8,)",1,8,relu,adam,0.01,16,180,1.0,1.0,1.0,1.0,1.0,0.0
topo_1_small_relu,4,4204,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9444444444444444,0.9484126984126985,0.9484126984126985,0.9484126984126985,0.05555555555555558
topo_1_small_relu,5,4205,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9166666666666666,0.9333333333333332,0.9285714285714285,0.9229629629629629,0.08333333333333337
topo_1_small_relu,6,4206,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9166666666666666,0.9162781662781664,0.9246031746031745,0.9193121693121693,0.08333333333333337
topo_1_small_relu,7,4207,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,0.05555555555555558
topo_1_small_relu,8,4208,"(8,)",1,8,relu,adam,0.01,16,180,1.0,1.0,1.0,1.0,1.0,0.0
topo_1_small_relu,9,4209,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_1_small_relu,10,4210,"(8,)",1,8,relu,adam,0.01,16,180,1.0,0.9444444444444444,0.9440559440559441,0.9523809523809524,0.9451526251526251,0.05555555555555558
topo_2_wide_tanh,1,4301,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9166666666666666,0.9267399267399267,0.919047619047619,0.9197780776728145,0.08333333333333337
topo_2_wide_tanh,2,4302,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9722222222222222,0.9696969696969697,0.9761904761904763,0.9717813051146384,0.02777777777777779
topo_2_wide_tanh,3,4303,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_2_wide_tanh,4,4304,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,0.05555555555555558
topo_2_wide_tanh,5,4305,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9166666666666666,0.923076923076923,0.9246031746031745,0.9229629629629629,0.08333333333333337
topo_2_wide_tanh,6,4306,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9166666666666666,0.9153846153846154,0.919047619047619,0.9162962962962963,0.08333333333333337
topo_2_wide_tanh,7,4307,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.8888888888888888,0.8888888888888888,0.9007936507936508,0.8906371406371406,0.11111111111111116
topo_2_wide_tanh,8,4308,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9722222222222222,0.9743589743589745,0.9761904761904763,0.974320987654321,0.02777777777777779
topo_2_wide_tanh,9,4309,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,0.05555555555555558
topo_2_wide_tanh,10,4310,"(16,)",1,16,tanh,adam,0.01,16,180,1.0,0.8611111111111112,0.8754578754578755,0.8809523809523809,0.8584169453734671,0.13888888888888884
topo_3_wide_relu_sgd,1,4401,"(24,)",1,24,relu,sgd,0.03,16,220,1.0,0.9722222222222222,0.9777777777777779,0.9722222222222222,0.9740129935032483,0.02777777777777779
topo_3_wide_relu_sgd,2,4402,"(24,)",1,24,relu,sgd,0.03,16,220,0.9722222222222222,1.0,1.0,1.0,1.0,0.0
topo_3_wide_relu_sgd,3,4403,"(24,)",1,24,relu,sgd,0.03,16,220,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
topo_3_wide_relu_sgd,4,4404,"(24,)",1,24,relu,sgd,0.03,16,220,1.0,0.9722222222222222,0.9777777777777779,0.9666666666666667,0.9709618874773139,0.02777777777777779
