kernel_size,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,train_loss_final,epochs
1,0.8611111111111112,0.8472222222222222,0.8513141032955275,0.8468618618618619,0.8479440949901308,0.3794806559769888,31
2,0.9583333333333334,0.9583333333333334,0.9604303010460329,0.9578528528528529,0.9575862034423677,0.0527057734939824,33
3,0.9777777777777777,0.9666666666666667,0.9666545150755678,0.9663492063492065,0.966245201290769,0.014697711056957892,32
5,0.975,0.9722222222222222,0.9742773892773894,0.9721428571428572,0.9722555623596654,0.004093086715362198,45
7,0.975,0.9583333333333334,0.9626839150804034,0.9576984126984127,0.9581553168133541,0.021495525103439418,28
