kernel_size,padding,filters,seed,val_accuracy,accuracy,precision_macro,recall_macro,f1_macro,test_loss,epochs
1,0,8,8081,0.8722222222222222,0.8555555555555555,0.8569910819231701,0.855032175032175,0.8518590956147005,0.3983933627605438,47
3,1,8,8083,0.9805555555555555,0.9777777777777777,0.978169452347084,0.9775353925353926,0.9774651979061574,0.07917489111423492,37
5,2,8,8085,0.9777777777777777,0.9638888888888889,0.9650185234395762,0.9636465036465036,0.9636910067529627,0.11853402107954025,41
7,3,8,8087,0.975,0.9638888888888889,0.965828568953569,0.9636465036465036,0.9638005810861057,0.11180993914604187,26
9,4,8,8089,0.9888888888888889,0.975,0.9756496467022784,0.9746825396825397,0.9746449253779496,0.08808498084545135,65
